# The 1,000 most populous US places, for offline location matching.
# Population and coordinates originate with the US Census Bureau (a US government
# work, public domain); assembled via plotly/datasets (MIT). Facts only.
# Coordinates rounded to 4dp (~11m) — far finer than metro-level matching needs.
city,state,lat,lon,population
Glendora,CA,34.1361,-117.8653,51074
Glenview,IL,42.0698,-87.7878,45417
Goodyear,AZ,33.4353,-112.3577,72864
Goose Creek,SC,32.981,-80.0326,39823
Grand Forks,ND,47.9253,-97.0329,54932
Grand Island,NE,40.9264,-98.342,50550
Grand Junction,CO,39.0639,-108.5506,59778
Grand Prairie,TX,32.746,-96.9978,183372
Grand Rapids,MI,42.9634,-85.6681,192294
Grapevine,TX,32.9343,-97.0781,50195
Great Falls,MT,47.4942,-111.2833,59351
Greeley,CO,40.4233,-104.7091,96539
Green Bay,WI,44.5192,-88.0198,104779
Greenacres,FL,26.6276,-80.1354,38696
Greenfield,WI,42.9614,-88.0126,37159
Greensboro,NC,36.0726,-79.792,279639
Greenville,NC,35.6127,-77.3664,89130
Greenville,SC,34.8526,-82.394,61397
Greenwood,IN,39.6137,-86.1067,53665
Gresham,OR,45.5001,-122.4302,109397
Grove City,OH,39.8815,-83.093,37490
Gulfport,MS,30.3674,-89.0928,71012
Hackensack,NJ,40.8859,-74.0435,44113
Hagerstown,MD,39.6418,-77.72,40612
Hallandale Beach,FL,25.9812,-80.1484,38632
Haltom City,TX,32.7996,-97.2692,43580
Hamilton,OH,39.3995,-84.5613,62258
Hammond,IN,41.5834,-87.5,78967
Hampton,VA,37.0299,-76.3452,136699
Hanford,CA,36.3275,-119.6457,54686
Hanover Park,IL,41.9995,-88.1451,38510
Harlingen,TX,26.1906,-97.6961,65665
Harrisburg,PA,40.2732,-76.8867,49188
Harrisonburg,VA,38.4496,-78.8689,51395
Hartford,CT,41.7637,-72.6851,125017
Hattiesburg,MS,31.3271,-89.2903,47556
Haverhill,MA,42.7762,-71.0773,62088
Hawthorne,CA,33.9164,-118.3526,86199
Hayward,CA,37.6688,-122.0808,151574
Hemet,CA,33.7475,-116.972,81750
Hempstead,NY,40.7062,-73.6187,55361
Henderson,NV,36.0395,-114.9817,270811
Hendersonville,TN,36.3048,-86.62,54068
Hesperia,CA,34.4264,-117.3009,92147
Hialeah,FL,25.8576,-80.2781,233394
Hickory,NC,35.7345,-81.3445,40361
High Point,NC,35.9557,-80.0053,107741
Highland,CA,34.1283,-117.2087,54291
Hillsboro,OR,45.5229,-122.9898,97368
Hilton Head Island,SC,32.2163,-80.7526,39412
Hoboken,NJ,40.744,-74.0324,52575
Hoffman Estates,IL,42.063,-88.1227,52398
Hollywood,FL,26.0112,-80.1495,146526
Holyoke,MA,42.2043,-72.6162,40249
Homestead,FL,25.4687,-80.4776,64079
Honolulu,HI,21.3069,-157.8583,347884
Hoover,AL,33.4054,-86.8114,84126
Houston,TX,29.7604,-95.3698,2195914
Huber Heights,OH,39.8439,-84.1247,38142
Huntersville,NC,35.4107,-80.8429,50458
Huntington,WV,38.4192,-82.4452,49177
Huntington Beach,CA,33.6603,-117.9992,197575
Huntington Park,CA,33.9817,-118.2251,58879
Huntsville,AL,34.7304,-86.5861,186254
Huntsville,TX,30.7235,-95.5508,39795
Hurst,TX,32.8235,-97.1706,38448
Hutchinson,KS,38.0608,-97.9298,41889
Idaho Falls,ID,43.4917,-112.034,58292
Independence,MO,39.0911,-94.4155,117240
Indianapolis,IN,39.7684,-86.1581,843393
Indio,CA,33.7206,-116.2156,83539
Inglewood,CA,33.9617,-118.3531,111542
Iowa City,IA,41.6611,-91.5302,71591
Irvine,CA,33.6839,-117.7947,236716
Irving,TX,32.814,-96.9489,228653
Jackson,MS,32.2988,-90.1848,172638
Jackson,TN,35.6145,-88.8139,67685
Jacksonville,FL,30.3322,-81.6557,842583
Jacksonville,NC,34.7541,-77.4302,69079
Janesville,WI,42.6828,-89.0187,63820
Jefferson City,MO,38.5767,-92.1735,43330
Jeffersonville,IN,38.2776,-85.7372,45929
Jersey City,NJ,40.7282,-74.0776,257342
Johns Creek,GA,34.0289,-84.1986,82788
Johnson City,TN,36.3134,-82.3535,65123
Joliet,IL,41.525,-88.0817,147806
Jonesboro,AR,35.8423,-90.7043,71551
Joplin,MO,37.0842,-94.5133,50789
Jupiter,FL,26.9342,-80.0942,58298
Jurupa Valley,CA,33.9972,-117.4855,98030
Kalamazoo,MI,42.2917,-85.5872,75548
Kannapolis,NC,35.4874,-80.6217,44359
Kansas City,KS,39.1141,-94.6275,148483
Kansas City,MO,39.0997,-94.5786,467007
Kearny,NJ,40.7684,-74.1454,41664
Keizer,OR,44.9901,-123.0262,37064
Keller,TX,32.9342,-97.2293,42907
Kenner,LA,29.9941,-90.2417,66975
Kennewick,WA,46.2112,-119.1372,76762
Kenosha,WI,42.5847,-87.8212,99889
Kent,WA,47.3809,-122.2348,124435
Kentwood,MI,42.8695,-85.6447,50233
Kettering,OH,39.6895,-84.1688,55870
Killeen,TX,31.1171,-97.7278,137147
Kingsport,TN,36.5484,-82.5618,52962
